countryName,meanIAT,nIAT,seIAT,meanExp,nExp,seExp
GRC,0.326391469021736,712.0,0.000564112354334542,0.396,750.0,0.0026964901062936
ZMB,0.20337472456437805,40.0,0.0108748941063986,-0.204081632653061,49.0,0.0615044043187379
ESP,0.3698935941871721,1785.0,0.00022948964086646402,0.5882973115445439,1897.0,0.00100164730649311
LUX,0.325185154120009,127.0,0.0032968095236196107,0.538461538461538,130.0,0.013752210497518
TUN,0.167131982196094,19.0,0.0273267140982471,-0.7894736842105259,19.0,0.111757205297028
MAR,0.32217686436101,140.0,0.0033441646155196896,0.11764705882352902,136.0,0.0137213702829746
FRA,0.334683895844357,2882.0,0.000150884729853696,0.336100963135171,3011.0,0.0005859663580006838
DEU,0.336628162642721,7749.0,5.45402511307639e-05,0.33596689240030103,7974.0,0.000225061636579017
PYF,0.360895000302002,4.0,0.0599036770697253,-0.2,5.0,0.0894427190999916
SEN,0.229733047214562,35.0,0.0124829411273686,-0.48780487804878,41.0,0.0304252779405649
ZAF,0.372072316937976,2795.0,0.00016257209642899499,0.627717391304348,2944.0,0.000929887106142013
LBY,0.227627425679335,19.0,0.0199824590728871,-0.111111111111111,18.0,0.100631428582841
SGP,0.430278996934136,2771.0,0.00014584328594703799,0.6490984743411929,2884.0,0.000527441425089293
BHR,0.34486279803347,399.0,0.0011532116473874801,-0.0703517587939698,398.0,0.00764143272236365
TUR,0.35470727687269105,656.0,0.000606285365051553,0.18208092485549104,692.0,0.00271720092129921
QAT  ,,,,,,
OMN,0.343632298371659,72.0,0.007074600036813891,0.368421052631579,76.0,0.0266506853020529
SAU,0.288617381328853,323.0,0.00141877797893905,0.163141993957704,331.0,0.00619416918042598
USA,0.3272487536641661,1975803.0,2.23537294251686e-07,0.459471271435807,2029548.0,1.0433342547950198e-06
GIN,-0.0472542252767709,7.0,0.0733304116665513,-1.375,8.0,0.14846686739567802
HUN,0.376127168428778,574.0,0.000714318569767773,0.498349834983498,606.0,0.00296824941456573
POL,0.369957542899207,1021.0,0.000412290464887037,0.831267874165872,1049.0,0.00203359119063967
AUS,0.334126053993707,16261.0,2.61108085629537e-05,0.301962402027226,16969.0,9.992209665433292e-05
MEX,0.367493345227886,2327.0,0.00017440603720638798,0.624640657084189,2435.0,0.000867828632385225
VEN,0.395413684057817,303.0,0.00135092600855844,0.9351851851851852,324.0,0.00728123345718422
MLT,0.500182452056771,69.0,0.00521546004250208,1.26086956521739,69.0,0.0334989928825107
ROU,0.38508214844892,537.0,0.000755687454294523,0.8594306049822059,562.0,0.00361995809917579
IRL,0.355498137405798,4078.0,9.83213148637282e-05,0.517225106182161,4238.0,0.000404579006949242
BRB,0.132576958073086,358.0,0.00139171018497129,-0.5714285714285711,378.0,0.00820739552920789
COL,0.377401563147512,601.0,0.000702928190989668,0.5880503144654089,636.0,0.0035789739457692603
BRA,0.3689460434508871,2411.0,0.000173380525321351,0.6371717171717171,2475.0,0.000913419518050977
CHE,0.3453051873285889,1886.0,0.000219256366263838,0.37719298245614,1938.0,0.000822971285640673
THA,0.3522642168464241,632.0,0.000683037886032209,0.5900621118012421,644.0,0.0028073845242463803
DNK,0.361009815298395,2254.0,0.000179437550540572,0.6144839549002601,2306.0,0.000811628023725932
MYS,0.393750010976576,862.0,0.00048455804696877414,0.599355531686359,931.0,0.00180476136952738
LBN,0.33795729612601505,189.0,0.00235750209884638,0.34010152284264,197.0,0.009414653983436407
BGR,0.435499426250395,276.0,0.00145826930315516,1.3468013468013502,297.0,0.00834273702627968
EGY,0.33149843754505104,285.0,0.00149283488691043,0.117056856187291,299.0,0.007131399782289459
IRN,0.3632999661140139,116.0,0.00361458209483825,0.7559055118110241,127.0,0.0210609399561913
SWE,0.34020549452248106,5223.0,8.123332188963059e-05,0.62640099626401,5621.0,0.00037280860311376203
JPN,0.341308090228416,2899.0,0.000147388590590909,0.205339485827291,3034.0,0.000603338100439677
KAZ,0.33098019841828,72.0,0.00510153325269424,0.240506329113924,79.0,0.0382557589810979
HTI,0.133951436502598,128.0,0.0038036940985834095,-1.12413793103448,145.0,0.0192830053903035
ENGL,0.326689683726724,44791.0,9.638668990978081e-06,0.356445562281524,46916.0,3.68802247340708e-05
SCOT,0.326689683726724,44791.0,9.638668990978081e-06,0.356445562281524,46916.0,3.68802247340708e-05
ALB,0.301277692020467,794.0,0.0005801442409149518,0.34958382877526795,841.0,0.00319090691650435
PER,0.398503325954886,254.0,0.00168181777414906,0.697416974169742,271.0,0.00870673857738692
ITA,0.386174222081355,1761.0,0.00023196030510226802,0.529815303430079,1895.0,0.00109116754271949
ARG,0.379421809264057,1038.0,0.000402667965213078,0.6329879101899829,1158.0,0.00209584096170289
MKD,0.3271389917512,170.0,0.00236241907009793,0.959537572254335,173.0,0.0147943895966183
SRB,0.282037146784089,114.0,0.0037248779562923705,0.420168067226891,119.0,0.0176574259711266
RUS,0.398173671048605,526.0,0.000808662587496386,1.21272727272727,550.0,0.00452078812067072
LVA,0.3755915528902701,108.0,0.00338232920623533,0.830357142857143,112.0,0.0148675161118703
BLR,0.2950861925866369,163.0,0.0030579018896548693,0.4882352941176471,170.0,0.0159239793712642
HRV,0.3573631925216889,367.0,0.00109887946230841,0.449468085106383,376.0,0.00487709184383436
GHA,0.0703014877468564,156.0,0.00320238420348469,-1.17045454545455,176.0,0.0132444100310234
AUT,0.337539293106427,1319.0,0.000331326009106019,0.394139194139194,1365.0,0.00171672097335431
BEL,0.362719752102189,3219.0,0.0001277386582496,0.568785437182931,3351.0,0.000574641642598346
KEN,0.144836421562987,438.0,0.000976710773080719,-0.619246861924686,478.0,0.00489618624995781
ECU,0.355254159361856,238.0,0.00174101087062532,0.706896551724138,232.0,0.009600887954474507
ARE,0.349778058049244,831.0,0.00050398291575535,0.118510158013544,886.0,0.0020263374234219
UGA,0.14613760583144902,98.0,0.0053589323731887606,-0.625,104.0,0.0209374969185923
KWT,0.264516828807264,189.0,0.00209875750153693,0.0932642487046632,193.0,0.00972452934373579
NLD,0.35291999954747794,5952.0,7.03582481284802e-05,0.445678810651854,6121.0,0.000268530331399279
ISR,0.3794235146161721,925.0,0.000463753211371217,0.559375,960.0,0.00192721194843895
CHL,0.34754335531637104,371.0,0.0011629377617886302,0.7068062827225129,382.0,0.00595738344460875
ERI,-0.0071428540603407096,21.0,0.0259833018746401,-1.26666666666667,30.0,0.0757761036207914
AZE,0.28475301293084804,339.0,0.00153464801856794,0.139393939393939,330.0,0.011746520487891
CYP,0.36547663571814,285.0,0.00144590847799656,0.768707482993197,294.0,0.00698110736179092
UKR,0.4156717038924221,192.0,0.0021415815553815893,1.2843137254902,204.0,0.0114910181174754
NOR,0.340606125012073,4949.0,8.25381870357804e-05,0.692824251726784,5212.0,0.000391053374455635
PRT,0.39680308014776094,1079.0,0.000391944954742492,0.7903657448706509,1121.0,0.0017975583487067398
URY,0.362015016289714,130.0,0.0030057379312795197,0.588235294117647,136.0,0.0175028280846623
FJI,0.360900819560615,35.0,0.0104074757265171,-0.2,40.0,0.0747217059048663
MWI,0.12194348098422697,26.0,0.0139965808899733,-0.548387096774194,31.0,0.0484506462093185
SVK,0.429987409975861,139.0,0.0026218642695109103,0.668965517241379,145.0,0.0128780568002546
PRY,0.359405525594795,40.0,0.00938266395900844,0.7727272727272729,44.0,0.0564977510747535
AGO,0.23556287024238,197.0,0.00261300642664422,0.256038647342995,207.0,0.0159067777214124
SUR,0.33109430727537,29.0,0.0121676915482443,-0.379310344827586,29.0,0.0556123112067685
FIN,0.396512199643863,2273.0,0.000186924727407418,1.03140703517588,2388.0,0.000931249224056627
ARM,0.316251892187962,203.0,0.00229912090037149,0.202898550724638,207.0,0.0131289175239823
HND,0.30404325306054303,148.0,0.0029607363409296303,0.435064935064935,154.0,0.0129641876633332
IND,0.361576059396701,2310.0,0.00017378408827271101,0.3624436244362439,2439.0,0.000715063305438216
LTU,0.4521745417301121,193.0,0.00228859891209001,1.3233830845771102,201.0,0.0121762553343907
MRT,0.411648191743091,3.0,0.124067735067982,1.0,3.0,0.33333333333333304
SDN,0.157127219589904,50.0,0.00914554346994142,0.24,50.0,0.041514197227317
GMB,0.101397428084135,12.0,0.0362657798043088,-0.538461538461538,13.0,0.13908472513068806
TGO,0.399633146820228,10.0,0.0492167604970677,0.25,12.0,0.27552750142300503
CHN,0.397897780731208,2522.0,0.00015801811286671796,0.5878810688746711,2657.0,0.00069579777463558
SYC,0.573793286802122,12.0,0.0352474960607429,0.916666666666667,12.0,0.249894758993442
